SORT;THEMA;Variabele;Label;Definitie;Bron;Peildatum;Verschijningsfrequentie
161;Bevolking;BevAntil;Antilliaans;De herkomstgroep Antilliaans bestaat uit personen die op de peildatum geregistreerd zijn in de gemeente Amsterdam met geboorte op de (voormalige) Nederlandse Antillen of van wie een van de ouders is geboren op de (voormalige) Nederlandse Antillen. Het geboorteland van de moeder is bepalend voor de herkomstgroep, tenzij de moeder in Nederland is geboren. In dat geval wordt de herkomstgroep bepaald aan de hand van het geboorteland van de vader. De (voormalige) Nederlandse Antillen is een samentelling van de eilanden die tot het grondgebied van de Nederlandse Antillen van vóór 10 oktober 2010 behoorden. Het gaat om de eilanden Aruba, Bonaire, Curaçao, Saba, Sint-Eustatius, Sint-Maarten. ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
171;Bevolking;BevTurk;Turks;De herkomstgroep Turks bestaat uit personen die op de peildatum geregistreerd zijn in de gemeente Amsterdam met geboorteland Turkije of van wie een van de ouders is geboren in Turkije. Het geboorteland van de moeder is bepalend voor de herkomstgroep, tenzij de moeder in Nederland is geboren. In dat geval wordt de herkomstgroep bepaald aan de hand van het geboorteland van de vader. ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
181;Bevolking;BevMarok;Marokkaans;De herkomstgroep Marokkaans bestaat uit personen die op de peildatum geregistreerd zijn in de gemeente Amsterdam met geboorteland Marokko of van wie een van de ouders is geboren in Marokko. Het geboorteland van de moeder is bepalend voor de herkomstgroep, tenzij de moeder in Nederland is geboren. In dat geval wordt de herkomstgroep bepaald aan de hand van het geboorteland van de vader. ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
191;Bevolking;BevovNW;Overig niet-westers;De herkomstgroep overig niet-westers bestaat uit personen die op de peildatum geregistreerd zijn in de gemeente Amsterdam met geboorte in een niet-westers land of van wie een van de ouders is geboren in een niet-westers land. Het geboorteland van de moeder is bepalend voor de herkomstgroep, tenzij de moeder in Nederland is geboren. In dat geval wordt de herkomsgroep bepaald aan de hand van het geboorteland van de vader. Niet-westerse landen zijn landen in de werelddelen Afrika, Latijns-Amerika en Azië (exclusief Indonesië en Japan) of Turkije. ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
201;Bevolking;BevWest;Westers;De herkomstgroep wesaters bestaat uit personen die op de peildatum geregistreerd zijn in de gemeente Amsterdam met geboorte in een westers land of van wie een van de ouders is geboren in een westers land. Het geboorteland van de moeder is bepalend voor de herkomstgroep, tenzij de moeder in Nederland is geboren. In dat geval wordt de herkomsgroep bepaald aan de hand van het geboorteland van de vader. Westerse landen zijn landen in Europa (exclusief Turkije en Nederland), Noord-Amerika en Oceanië, of Indonesië of Japan.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
211;Bevolking;BevAutoch;Autochtoon;De herkomstgroep autochtoon bestaat uit personen die op de peildatum geregistreerd zijn in de gemeente Amsterdam en van wie de beide ouders in Nederland zijn geboren, ongeacht het land waar men zelf is geboren.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
221;Bevolking;BevSur_p;% Surinaams;Het aandeel van de bevolking met geboorteland Suriname of van wie een van de ouders is geboren in Suriname. Het geboorteland van de moeder is bepalend voor de herkomstgroep, tenzij de moeder in Nederland is geboren. In dat geval wordt de herkomstgroep bepaald aan de hand van het geboorteland van de vader. ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
231;Bevolking;BevAntil_p;% Antilliaans;Het aandeel van de bevolking met geboorteland de (voormalige) Nederlandse Antillen of van wie een van de ouders is geboren in de (voormalige) Nederlandse Antillen. Het geboorteland van de moeder is bepalend voor de herkomstgroep, tenzij de moeder in Nederland is geboren. In dat geval wordt de herkomstgroep bepaald aan de hand van het geboorteland van de vader. ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
241;Bevolking;BevTurk_p;% Turks;Het aandeel van de bevolking met geboorteland Turkije of van wie een van de ouders is geboren in Turkije. Het geboorteland van de moeder is bepalend voor de herkomstgroep, tenzij de moeder in Nederland is geboren. In dat geval wordt de herkomstgroep bepaald aan de hand van het geboorteland van de vader. ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
251;Bevolking;BevMarok_p;% Marokkaans;Het aandeel van de bevolking met geboorteland Marokko of van wie een van de ouders is geboren in Marokko. Het geboorteland van de moeder is bepalend voor de herkomstgroep, tenzij de moeder in Nederland is geboren. In dat geval wordt de herkomstgroep bepaald aan de hand van het geboorteland van de vader. ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
261;Bevolking;BevovNW_p;% Overig niet Westers;Het aandeel van de bevolking met geboorteland een overig niet-westers land of van wie een van de ouders is geboren in een overig niet-westers land. Het geboorteland van de moeder is bepalend voor de herkomstgroep, tenzij de moeder in Nederland is geboren. In dat geval wordt de herkomstgroep bepaald aan de hand van het geboorteland van de vader. Niet-westerse landen zijn landen in de werelddelen Afrika, Latijns-Amerika en Azië (exclusief Indonesië en Japan) of Turkije. ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
271;Bevolking;BevWest_p;% Westers;Het aandeel van de bevolking met geboorteland een westers land of van wie een van de ouders is geboren in een westers land. Het geboorteland van de moeder is bepalend voor de herkomstgroep, tenzij de moeder in Nederland is geboren. In dat geval wordt de herkomstgroep bepaald aan de hand van het geboorteland van de vader. Westerse landen zijn landen in Europa (exclusief Nederland en Turkije), Noord-Amerika en Oceanië, of Indonesië of Japan.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
281;Bevolking;BevAutoch_p;% Autochtoon;Het aandeel van de bevolking van wie de beide ouders in Nederland zijn geboren, ongeacht het land waar men zelf is geboren.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
291;Bevolking;BevNW_p;% Niet-westers;Het aandeel van de bevolking met geboorteland een niet-westers land of van wie een van de ouders is geboren in een niet-westers land. Het geboorteland van de moeder is bepalend voor de herkomstgroep, tenzij de moeder in Nederland is geboren. In dat geval wordt de herkomstgroep bepaald aan de hand van het geboorteland van de vader. Niet-westerse landen zijn Marokko, Turkije, Suriname, de (voormalige) Nederlandse Antillen en de overige landen in de werelddelen Afrika, Latijns-Amerika en Azië (exclusief Indonesië en Japan) of Turkije. ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
301;Bevolking;BevegNW;Eerste generatie niet-westers;Het aantal Amsterdammers met een niet-westerse herkomst dat niet in Nederland is geboren.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
311;Bevolking;BevegWest;Eerste generatie westers;Het aantal Amsterdammers met een niet-Nederlandse westerse herkomst dat niet in Nederland is geboren.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
321;Bevolking;BevNstedeling;Nieuwe stedelingen;"Nieuwe stedelingen zijn personen van autochtone of westerse herkomst in de leeftijd van 18 tot en met 54 jaar die na hun 18e levensjaar geregistreerd zijn in de gemeente Amsterdam.  

";Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
331;Bevolking;BevNstedeling_p;% Nieuwe stedelingen;Aandeel in de bevolking van personen van autochtone of westerse herkomst, in de leeftijd 18 tot en met 54 jaar die na hun 18e levensjaar geregistreerd zijn in de gemeente Amsterdam.  ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
341;Bevolking;Bev65auto;65+ autochtoon;Aantal autochtone Amsterdammers van 65 jaar en ouder;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
351;Bevolking;Bev65W;65+ westers;Aantal Amsterdammers met een westerse herkomst van 65 jaar en ouder;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
361;Bevolking;Bev65NW;65+ niet-westers;Aantal Amsterdammers met een niet-westerse herkomst van 65 jaar en ouder;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
371;Bevolking;Bev65auto_p;% 65+ autochtoon;Aandeel Amsterdammers van 65 jaar en ouder waarvan beide ouders in Nederland zijn geboren (autochtoon). ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
381;Bevolking;Bev65W_p;% 65+ westers;Aandeel Amsterdammers van 65 jaar en ouder met een westerse herkomst (uitgezonderd Nederland) .;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
391;Bevolking;Bev65NW_p;% 65+ niet-westers;Aandeel Amsterdammers van 65 jaar en ouder met een niet-westerse herkomst .;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
401;Bevolking;Bev17auto;0-17 autochtoon;Aantal autochtone Amsterdammers van 0 t/m 17 jaar.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
411;Bevolking;Bev17W;0-17 westers;Aantal Amsterdammers met een westerse herkomst van 0 t/m 17 jaar.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
421;Bevolking;Bev17NW;0-17 niet-westers;Aantal Amsterdammers met een niet-westerse herkomst van 0 t/m 17 jaar.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
431;Bevolking;Bev17auto_p;% 0-17 autochtoon;Aandeel Amsterdammers van 0 t/m 17 jaar waarvan beide ouders in Nederland zijn geboren (autochtoon). ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
441;Bevolking;Bev17W_p;% 0-17 westers;Aandeel Amsterdammers van 0 t/m 17 jaar met een westerse herkomst (uitgezonderd Nederland) .;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
451;Bevolking;Bev17NW_p;% 0-17 niet-westers;Aandeel Amsterdammers van 0 t/m 17 jaar met een niet-westerse herkomst .;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
461;Bevolking;Bevopllaag_p;% Laag opgeleid;"Aandeel laag opgeleide inwoners van de bevolking van 15 tot en met 74  jaar (maximaal VMBO).

De cijfers op buurtcombinatieniveau zijn gebaseerd op de gebiedsindeling van 2010. De grenswijzigingen per 1-1-2015 zijn buiten beschouwing gelaten.";CBS / bewerking OIS;30 september;1 keer per jaar
471;Bevolking;Bevoplmid_p;% Middelbaar opgeleid ;"Aandeel middelbaar opgeleide inwoners van de bevolking van 15 tot en met 74 jaar (MBO, Havo, VWO).

De cijfers op buurtcombinatieniveau zijn gebaseerd op de gebiedsindeling van 2010. De grenswijzigingen per 1-1-2015 zijn buiten beschouwing gelaten.";CBS / bewerking OIS;30 september;1 keer per jaar
481;Bevolking;Bevoplhoog_p;% Hoog opgeleid ;"Aandeel hoog opgeleide inwoners van de bevolking van 15 tot en met 74 jaar (HBO of universiteit).

De cijfers op buurtcombinatieniveau zijn gebaseerd op de gebiedsindeling van 2010. De grenswijzigingen per 1-1-2015 zijn buiten beschouwing gelaten.";CBS / bewerking OIS;30 september;1 keer per jaar
491;Bevolking;BevhuishoudenHH;Aantal huishoudens;"Een huishouden bestaat uit één of meer personen die alleen of samen een leefeenheid vormen; dit uit zich bijvoorbeeld in het gebruik van een gemeenschappelijke woonkamer of keuken. Huishoudens zijn dus gezinnen, samenwonenden, woongroepen en alleenstaanden die een zelfstandig huishouding voeren.
";Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
501;Bevolking;BevgehzkindHH;Gehuwd zonder kinderen;Het huishoudentype 'gehuwd samenwonend zonder kinderen' wordt bepaald op basis van de relatiecodes tussen bewoners die op de peildatum in de Basisregistraties Adressen en Gebouwen (BAG) zijn geregistreerd binnen een adres. Dit type huishouden bestaat uit twee meerderjarige bewoners die volgens de GBA met elkaar wettig in de echt verbonden zijn. ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
511;Bevolking;BevgehmkindHH;Gehuwd met kinderen;Het huishoudentype 'gehuwd samenwonend met kinderen' wordt bepaald op basis van de relatiecodes tussen bewoners die op de peildatum in de Basisregistraties Adressen en Gebouwen (BAG) zijn geregistreerd binnen een adres. Dit type huishouden bestaat uit twee meerderjarige bewoners die volgens de GBA met elkaar wettig in de echt verbonden zijn en een of meerdere ongehuwde bewoners die wettige kind(eren) zijn van een of beide meerderjarige bewoners op dit adres. ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
521;Bevolking;BevongehzkindHH;Ongehuwd samenwonend zonder kinderen;Het huishoudentype 'ongehuwd samenwonend zonder kinderen' wordt bepaald op basis van de relatiecodes tussen bewoners die op de peildatum in de Basisregistraties Adressen en Gebouwen (BAG) zijn geregistreerd binnen een adres. Dit type huishouden bestaat uit twee meerderjarige bewoners die volgens de GBA niet wettig in de echt verbonden zijn. ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
531;Bevolking;BevongehmkindHH;Ongehuwd samenwonend met kinderen;Het huishoudentype 'samenwonend met kinderen' wordt bepaald op basis van de relatiecodes tussen bewoners die op de peildatum in de Basisregistraties Adressen en Gebouwen (BAG) zijn geregistreerd binnen een adres. Dit type huishouden bestaat uit twee meerderjarige bewoners die volgens de GBA met elkaar niet wettig in de echt verbonden zijn en een of meerdere ongehuwde bewoners die wettige kind(eren) zijn van een of beide meerderjarige bewoners op dit adres. ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
541;Bevolking;BeveenouderHH;Eenoudergezin;Het huishoudentype 'eenoudergezin' wordt bepaald op basis van de relatiecodes tussen bewoners die op de peildatum in de Basisregistraties Adressen en Gebouwen (BAG) zijn geregistreerd binnen een adres. Dit type huishouden bestaat uit een meerderjarige bewoner en een of meerdere ongehuwde bewoners die wettige kind(eren) zijn van de meerderjarige bewoner op dit adres.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
551;Bevolking;BevalleenHH;Alleenstaand;"Het huishoudentype 'alleenstaand' wordt bepaald op basis van de relatiecodes tussen bewoners die op de peildatum in de Basisregistraties Adressen en Gebouwen (BAG) zijn geregistreerd binnen een adres. Dit type huishouden bestaat uit een meerderjarige persoon die alleen een huishouden voert (eenpersoonshuishouden), behalve
alleenwonenden vallen hier ook kamerbewoners onder.";Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
561;Bevolking;BevoverigHH;Overig huishoudtype;Het huishoudentype 'overig' wordt bepaald op basis van de relatiecodes tussen bewoners die op de peildatum in de Basisregistraties Adressen en Gebouwen (BAG) zijn geregistreerd binnen een adres. Hieronder vallen diverse combinaties die anders zijn dan 'samenwonend/gehuwd met kinderen', 'samenwonend/gehuwd zonder kinderen', 'eenoudergezin' en 'alleenstaand'. Voorbeelden van het type 'overig' zijn drie meerderjarige bewoners op een adres, die geen wettige relatie met elkaar hebben of bewoners van een woongroep.  ;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
571;Bevolking;BeveenouderHH_p;% Eenoudergezin;Aandeel huishoudens dat gevormd wordt  door een een meerderjarige bewoner en een of meerdere ongehuwde wettige kind(eren).;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
581;Bevolking;BevalleenHH_p;% Alleenstaand;Aandeel huishoudens dat bestaat uit een persoon die alleen een huishouden voert (eenpersoonshuishouden), behalve alleenwonenden vallen hier ook kamerbewoners onder.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
591;Bevolking;BevpaarzkindHH_p;% Stel zonder kinderen;Aandeel huishoudens dat bestaat uit gehuwd of ongehuwd samenwonenden zonder kinderen;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
601;Bevolking;BevpaarmkindHH_p;% Stel met kinderen;Aandeel huishoudens dat bestaat uit gehuwd of ongehuwd samenwonenden met thuiswonende ongehuwde kinderen;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
611;Bevolking;BevHHmkind;Huishouden met kinderen;Aantal huishoudens met ongehuwde thuiswonende kinderen.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
621;Bevolking;BevHHmkind_p;% Huishouden met kinderen;Aandeel huishoudens met ongehuwde thuiswonende kinderen.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
631;Bevolking;Bevalleen0_17;Alleenwonend 0 t/m 17;Alleenwonenden van 0 t/m 17 jaar;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
641;Bevolking;Bevalleen18_29;Alleenwonend 18 t/m 29;Alleenwonenden van 18 t/m 29 jaar;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
651;Bevolking;Bevalleen30_49;Alleenwonend 30 t/m 49;Alleenwonenden van 30 t/m 49 jaar;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
661;Bevolking;Bevalleen50_79;Alleenwonend 50 t/m 79;Alleenwonenden van 50 t/m 79 jaar;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
671;Bevolking;Bevalleen80plus;Alleenwonend 80+;Alleenwonenden van 80 jaar en ouder;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
681;Bevolking;Bevgeb;Geboortes;"Aantal bevallingen gedurende het peiljaar, ongeacht de levensvatbaarheid van het kind of de kinderen.
De geboortestatistiek betreft geboorten uit vrouwen die ten tijde van de bevalling in het bevolkingsregister van Amsterdam zijn opgenomen, ongeacht de plaats waar de bevalling heeft plaatsgevonden. Daarentegen worden bevallingen in Amsterdam van vrouwen die niet in het gemeentelijk bevolkingsregister zijn opgenomen niet meegeteld. ";Afd. Basisinformatie / OIS;jaarcijfer;1 keer per jaar
691;Bevolking;Bevsterf;Sterfgevallen;"Het aantal personen dat is overleden waarbij een bevoegde arts een overlijdensakte heeft ondertekend. 
Overledenen worden geteld naar de woongemeente en niet naar de gemeente van overlijden.
In de statistieken heeft sterfte betrekking op het aantal personen dat tijdens het overlijden in het bevolkingsregister van Amsterdam is opgenomen, ongeacht de gemeente waar het overlijden heeft plaatsgevonden. Personen die niet in Amsterdam wonen maar wel hier overlijden worden niet meegeteld. ";Afd. Basisinformatie / OIS;jaarcijfer;1 keer per jaar
701;Bevolking;Bevvest;Vestiging buitengemeentelijk;Aantal personen dat zich gedurende het jaar gevestigd heeft in Amsterdam vanuit een gemeente buiten Amsterdam ;Afd. Basisinformatie / OIS;jaarcijfer;1 keer per jaar
711;Bevolking;Bevvert;Vertrek buitengemeentelijk;Aantal personen dat gedurende het jaar verhuisd is naar een andere gemeente in Nederland of naar het buitenland. ;Afd. Basisinformatie / OIS;jaarcijfer;1 keer per jaar
721;Bevolking;Bevvestint;Vestiging binnengemeentelijk;Aantal personen dat zich gedurende het jaar gevestigd heeft in het betreffende gebied wegens een verhuizing binnen Amsterdam ;Afd. Basisinformatie / OIS;jaarcijfer;1 keer per jaar
731;Bevolking;Bevvertint;Vertrek binnengemeentelijk;Aantal personen dat gedurende het jaar vertrokken is uit het betreffende gebied wegens een verhuizing binnen Amsterdam ;Afd. Basisinformatie / OIS;jaarcijfer;1 keer per jaar
741;Bevolking;Bevgelijkint;Vestiging en vertrek binnengebied;Aantal personen dat gedurende het jaar verhuisd is binnen  het betreffende gebied;Afd. Basisinformatie / OIS;jaarcijfer;1 keer per jaar
751;Bevolking;Bevmutnl_p;Binnenlandse mutatiegraad;Aandeel inwoners dat gedurende het jaar verhuisd is binnen Nederland;Afd. Basisinformatie / OIS;jaarcijfer;
761;Bevolking;Bevmuttot_p;Mutatiegraad totaal;Aandeel inwoners dat gedurende het jaar verhuisd is (inclusief verhuizingen van en naar het buitenland);Afd. Basisinformatie / OIS;jaarcijfer;
771;Bevolking;Bevwoonduur;Gemiddelde woonduur;Woonduur op het adres is het aantal jaren vanaf het moment van de registratie op het adres tot de peildatum en wordt berekend als het gemiddelde verschil tussen het peiljaar en het vestigingsjaar van alle bewoners. ;Afd. Basisinformatie / OIS;jaarcijfer;1 keer per jaar
781;Leeftijd;Bev0_4;0 t/m 4 jaar;Personen in de leeftijd 0 t/m 4 jaar die op de peildatum zijn geregistreerd in de gemeente Amsterdam. De leeftijd is het aantal gehele jaren dat op de dag voorafgaand aan de peildatum is verstreken sinds de geboortedatum van de persoon.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
791;Leeftijd;Bev5_9;5 t/m 9 jaar;Personen in de leeftijd 5 t/m 9 jaar die op de peildatum zijn geregistreerd in de gemeente Amsterdam. De leeftijd is het aantal gehele jaren dat op de dag voorafgaand aan de peildatum is verstreken sinds de geboortedatum van de persoon.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
801;Leeftijd;Bev10_14;10 t/m 14 jaar;Personen in de leeftijd 10 t/m 14 jaar die op de peildatum zijn geregistreerd in de gemeente Amsterdam. De leeftijd is het aantal gehele jaren dat op de dag voorafgaand aan de peildatum is verstreken sinds de geboortedatum van de persoon.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
811;Leeftijd;Bev15_19;15 t/m 19 jaar;Personen in de leeftijd 15 t/m 19 jaar die op de peildatum zijn geregistreerd in de gemeente Amsterdam. De leeftijd is het aantal gehele jaren dat op de dag voorafgaand aan de peildatum is verstreken sinds de geboortedatum van de persoon.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
821;Leeftijd;Bev20_24;20 t/m 24 jaar;Personen in de leeftijd 20 t/m 24 jaar die op de peildatum zijn geregistreerd in de gemeente Amsterdam. De leeftijd is het aantal gehele jaren dat op de dag voorafgaand aan de peildatum is verstreken sinds de geboortedatum van de persoon.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
831;Leeftijd;Bev25_29;25 t/m 29 jaar;Personen in de leeftijd 25 t/m 29 jaar die op de peildatum zijn geregistreerd in de gemeente Amsterdam. De leeftijd is het aantal gehele jaren dat op de dag voorafgaand aan de peildatum is verstreken sinds de geboortedatum van de persoon.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
841;Leeftijd;Bev30_34;30 t/m 34 jaar;Personen in de leeftijd 30 t/m 34 jaar die op de peildatum zijn geregistreerd in de gemeente Amsterdam. De leeftijd is het aantal gehele jaren dat op de dag voorafgaand aan de peildatum is verstreken sinds de geboortedatum van de persoon.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
851;Leeftijd;Bev35_39;35 t/m 39 jaar;Personen in de leeftijd 35 t/m 39 jaar die op de peildatum zijn geregistreerd in de gemeente Amsterdam. De leeftijd is het aantal gehele jaren dat op de dag voorafgaand aan de peildatum is verstreken sinds de geboortedatum van de persoon.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
861;Leeftijd;Bev40_44;40 t/m 44 jaar;Personen in de leeftijd 40 t/m 44 jaar die op de peildatum zijn geregistreerd in de gemeente Amsterdam. De leeftijd is het aantal gehele jaren dat op de dag voorafgaand aan de peildatum is verstreken sinds de geboortedatum van de persoon.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
871;Leeftijd;Bev45_49;45 t/m 49 jaar;Personen in de leeftijd 45 t/m 49 jaar die op de peildatum zijn geregistreerd in de gemeente Amsterdam. De leeftijd is het aantal gehele jaren dat op de dag voorafgaand aan de peildatum is verstreken sinds de geboortedatum van de persoon.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
881;Leeftijd;Bev50_54;50 t/m 54 jaar;Personen in de leeftijd 50 t/m 54 jaar die op de peildatum zijn geregistreerd in de gemeente Amsterdam. De leeftijd is het aantal gehele jaren dat op de dag voorafgaand aan de peildatum is verstreken sinds de geboortedatum van de persoon.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
891;Leeftijd;Bev55_59;55 t/m 59 jaar;Personen in de leeftijd 55 t/m 59 jaar die op de peildatum zijn geregistreerd in de gemeente Amsterdam. De leeftijd is het aantal gehele jaren dat op de dag voorafgaand aan de peildatum is verstreken sinds de geboortedatum van de persoon.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
901;Leeftijd;Bev60_64;60 t/m 64 jaar;Personen in de leeftijd 60 t/m 64 jaar die op de peildatum zijn geregistreerd in de gemeente Amsterdam. De leeftijd is het aantal gehele jaren dat op de dag voorafgaand aan de peildatum is verstreken sinds de geboortedatum van de persoon.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
911;Leeftijd;Bev65_69;65 t/m 69 jaar;Personen in de leeftijd 65 t/m 69 jaar die op de peildatum zijn geregistreerd in de gemeente Amsterdam. De leeftijd is het aantal gehele jaren dat op de dag voorafgaand aan de peildatum is verstreken sinds de geboortedatum van de persoon.;Afd. Basisinformatie / OIS;1  januari;1 keer per jaar
